Tsi,Ion,empty ,sensitivity,,Vth,empty,sensitivity
10.03314759,1.41E-06,8.37E-13,1.68E+06,,0.170557096,0.270993644,0.370623261
10.03329047,1.41E-06,8.37E-13,1.68E+06,,0.170559406,0.270993644,0.370614737
10.03343335,1.41E-06,8.37E-13,1.68E+06,,0.170561716,0.270993644,0.370606213
10.03357623,1.41E-06,8.37E-13,1.68E+06,,0.170564026,0.270993644,0.370597689
10.0337191,1.41E-06,8.37E-13,1.68E+06,,0.170566336,0.270993644,0.370589165
10.03386198,1.41E-06,8.37E-13,1.68E+06,,0.170568646,0.270993644,0.37058064
10.03400486,1.41E-06,8.37E-13,1.68E+06,,0.170570956,0.270993644,0.370572116
10.03414774,1.41E-06,8.37E-13,1.68E+06,,0.170573265,0.270993644,0.370563596
10.03429061,1.41E-06,8.37E-13,1.68E+06,,0.170575575,0.270993644,0.370555072
10.03443349,1.41E-06,8.37E-13,1.68E+06,,0.170577885,0.270993644,0.370546547
10.03457637,1.41E-06,8.37E-13,1.68E+06,,0.170580195,0.270993644,0.370538023
10.03471925,1.41E-06,8.37E-13,1.68E+06,,0.170582505,0.270993644,0.370529499
10.03486212,1.41E-06,8.37E-13,1.68E+06,,0.170584815,0.270993644,0.370520975
10.035005,1.41E-06,8.37E-13,1.68E+06,,0.170587125,0.270993644,0.370512451
10.03514788,1.41E-06,8.37E-13,1.68E+06,,0.170589435,0.270993644,0.370503927
10.03529076,1.41E-06,8.37E-13,1.68E+06,,0.170591745,0.270993644,0.370495402
10.03543363,1.41E-06,8.37E-13,1.68E+06,,0.170594054,0.270993644,0.370486882
10.03557651,1.41E-06,8.37E-13,1.68E+06,,0.170596364,0.270993644,0.370478358
10.03571939,1.41E-06,8.37E-13,1.68E+06,,0.170598674,0.270993644,0.370469833
10.03586227,1.41E-06,8.37E-13,1.68E+06,,0.170600984,0.270993644,0.370461309
10.03600514,1.41E-06,8.37E-13,1.68E+06,,0.170603294,0.270993644,0.370452785
10.03614802,1.41E-06,8.37E-13,1.68E+06,,0.170605604,0.270993644,0.370444261
10.0362909,1.41E-06,8.37E-13,1.68E+06,,0.170607914,0.270993644,0.370435737
10.03643378,1.41E-06,8.37E-13,1.68E+06,,0.170610224,0.270993644,0.370427213
10.03657665,1.41E-06,8.37E-13,1.68E+06,,0.170612534,0.270993644,0.370418688
10.03671953,1.41E-06,8.37E-13,1.68E+06,,0.170614844,0.270993644,0.370410164
10.03686241,1.41E-06,8.37E-13,1.68E+06,,0.170617153,0.270993644,0.370401644
10.03700529,1.41E-06,8.37E-13,1.68E+06,,0.170619463,0.270993644,0.370393119
10.03714816,1.41E-06,8.37E-13,1.68E+06,,0.170621773,0.270993644,0.370384595
10.03729104,1.41E-06,8.37E-13,1.68E+06,,0.170624083,0.270993644,0.370376071
10.03743392,1.41E-06,8.37E-13,1.68E+06,,0.170626393,0.270993644,0.370367547
10.0375768,1.40E-06,8.37E-13,1.67E+06,,0.170628703,0.270993644,0.370359023
10.03771967,1.40E-06,8.37E-13,1.67E+06,,0.170631013,0.270993644,0.370350499
10.03786255,1.40E-06,8.37E-13,1.67E+06,,0.170633323,0.270993644,0.370341974
10.03800543,1.40E-06,8.37E-13,1.67E+06,,0.170635633,0.270993644,0.37033345
10.03814831,1.40E-06,8.37E-13,1.67E+06,,0.170637943,0.270993644,0.370324926
10.03829118,1.40E-06,8.37E-13,1.67E+06,,0.170640252,0.270993644,0.370316405
10.03843406,1.40E-06,8.37E-13,1.67E+06,,0.170642562,0.270993644,0.370307881
10.03857694,1.40E-06,8.37E-13,1.67E+06,,0.170644872,0.270993644,0.370299357
10.03871982,1.40E-06,8.37E-13,1.67E+06,,0.170647182,0.270993644,0.370290833
10.03886269,1.40E-06,8.37E-13,1.67E+06,,0.170649492,0.270993644,0.370282309
10.03900557,1.40E-06,8.37E-13,1.67E+06,,0.170651802,0.270993644,0.370273785
10.03914845,1.40E-06,8.37E-13,1.67E+06,,0.170654112,0.270993644,0.37026526
10.03929133,1.40E-06,8.37E-13,1.67E+06,,0.170656422,0.270993644,0.370256736
10.0394342,1.40E-06,8.37E-13,1.67E+06,,0.170658732,0.270993644,0.370248212
10.03957708,1.40E-06,8.37E-13,1.67E+06,,0.170661042,0.270993644,0.370239688
10.03971996,1.40E-06,8.37E-13,1.67E+06,,0.170663351,0.270993644,0.370231167
10.03986284,1.40E-06,8.37E-13,1.67E+06,,0.170665661,0.270993644,0.370222643
10.04000572,1.40E-06,8.37E-13,1.67E+06,,0.170667971,0.270993644,0.370214119
10.04014859,1.40E-06,8.37E-13,1.67E+06,,0.170670281,0.270993644,0.370205595
10.04029147,1.40E-06,8.37E-13,1.67E+06,,0.170672591,0.270993644,0.370197071
10.04043435,1.40E-06,8.37E-13,1.67E+06,,0.170674901,0.270993644,0.370188546
10.04057723,1.40E-06,8.37E-13,1.67E+06,,0.170677211,0.270993644,0.370180022
10.0407201,1.40E-06,8.37E-13,1.67E+06,,0.170679521,0.270993644,0.370171498
10.04086298,1.40E-06,8.37E-13,1.67E+06,,0.170681831,0.270993644,0.370162974
10.04100586,1.40E-06,8.37E-13,1.67E+06,,0.17068414,0.270993644,0.370154453
10.04114874,1.40E-06,8.37E-13,1.67E+06,,0.17068645,0.270993644,0.370145929
10.04129161,1.40E-06,8.37E-13,1.67E+06,,0.17068876,0.270993644,0.370137405
10.04143449,1.40E-06,8.37E-13,1.67E+06,,0.17069107,0.270993644,0.370128881
10.04157737,1.40E-06,8.37E-13,1.67E+06,,0.17069338,0.270993644,0.370120357
10.04172025,1.40E-06,8.37E-13,1.67E+06,,0.17069569,0.270993644,0.370111832
10.04186312,1.40E-06,8.37E-13,1.67E+06,,0.170698,0.270993644,0.370103308
10.042006,1.40E-06,8.37E-13,1.67E+06,,0.17070031,0.270993644,0.370094784
10.04214888,1.40E-06,8.37E-13,1.67E+06,,0.17070262,0.270993644,0.37008626
10.04229176,1.40E-06,8.37E-13,1.67E+06,,0.17070493,0.270993644,0.370077736
10.04243463,1.40E-06,8.37E-13,1.67E+06,,0.170707239,0.270993644,0.370069215
10.04257751,1.40E-06,8.37E-13,1.67E+06,,0.170709549,0.270993644,0.370060691
10.04272039,1.40E-06,8.37E-13,1.67E+06,,0.170711859,0.270993644,0.370052167
