C.Length,Ion,ion_air,ion_sensitivity,,Vth,vth_air,vth_sensitivity
243.5957994,9.81E-07,5.19E-14,1.89E+07,,0.17443622,0.42959254,0.593949606
243.5979426,9.81E-07,5.19E-14,1.89E+07,,0.174436726,0.42959254,0.593948428
243.6000857,9.81E-07,5.19E-14,1.89E+07,,0.174437232,0.42959254,0.59394725
243.6022289,9.81E-07,5.19E-14,1.89E+07,,0.174437738,0.42959254,0.593946072
243.6043721,9.81E-07,5.19E-14,1.89E+07,,0.174438244,0.42959254,0.593944895
243.6065152,9.81E-07,5.19E-14,1.89E+07,,0.17443875,0.42959254,0.593943717
243.6086584,9.81E-07,5.19E-14,1.89E+07,,0.174439256,0.42959254,0.593942539
243.6108015,9.81E-07,5.19E-14,1.89E+07,,0.174439762,0.42959254,0.593941361
243.6129447,9.81E-07,5.19E-14,1.89E+07,,0.174440268,0.42959254,0.593940183
243.6150879,9.81E-07,5.19E-14,1.89E+07,,0.174440774,0.42959254,0.593939005
243.617231,9.81E-07,5.19E-14,1.89E+07,,0.174441281,0.42959254,0.593937825
243.6193742,9.81E-07,5.19E-14,1.89E+07,,0.174441787,0.42959254,0.593936647
243.6215174,9.81E-07,5.19E-14,1.89E+07,,0.174442293,0.42959254,0.593935469
243.6236605,9.81E-07,5.19E-14,1.89E+07,,0.174442799,0.42959254,0.593934291
243.6258037,9.81E-07,5.19E-14,1.89E+07,,0.174443305,0.42959254,0.593933114
243.6279468,9.81E-07,5.19E-14,1.89E+07,,0.174443811,0.42959254,0.593931936
243.63009,9.81E-07,5.19E-14,1.89E+07,,0.174444317,0.42959254,0.593930758
243.6322332,9.81E-07,5.19E-14,1.89E+07,,0.174444823,0.42959254,0.59392958
243.6343763,9.81E-07,5.19E-14,1.89E+07,,0.174445329,0.42959254,0.593928402
243.6365195,9.81E-07,5.19E-14,1.89E+07,,0.174445835,0.42959254,0.593927224
243.6386627,9.80E-07,5.19E-14,1.89E+07,,0.174446341,0.42959254,0.593926046
243.6408058,9.80E-07,5.19E-14,1.89E+07,,0.174446847,0.42959254,0.593924869
